disease_name,assigned_label
수포성 표피박리증(Epidermolysis bullosa in cats ),비듬_각질_상피성잔고리
특발성 안면 피부염(Idiopathic facial dermatitis of persian cats),비듬_각질_상피성잔고리
외분비 췌장 종양형성(Neoplasia of the exocrine pancreas in cats),결절_종괴
"모피 진드기인 LYNXACARUS RADOVSKYI 기생충증(LYNXACARUS RADOVSKYI, CAT FUR MITE)",결절_종괴
"유두종, 고양이 사마귀, 섬유성 유두종 (Papillomatosis, feline warts, fibropapilloma)",농포_여드름
고양이에서의 GRISEOFULVIN중독증 (GRISEOFULVIN TOXICITY IN CATS ),농포_여드름
고양이에서 뺨 부종(Chin edema in cats),결절_종괴
말과 고양이에서의 chromomycosis(Chromomycosis in horses and cats),비듬_각질_상피성잔고리
피부 과호산구증(Dermatologic hypereosinophilic syndrome in cats),비듬_각질_상피성잔고리
"눈꺼풀낭과 부분분비땀샘낭종 (Eyelid cysts, apocrine hidrocystomas, in cats)",비듬_각질_상피성잔고리
캘리시바이러스 (Feline calicivirus),비듬_각질_상피성잔고리
CHEDIAK-HIGASHI증후군 (Feline chediak-higashi syndrome),결절_종괴
고양이 특발 궤양성 피부병 (Feline idiopathic ulcerative dermatosis),결절_종괴
고양이 좁쌀피부염 (Feline miliary dermatitis),농포_여드름
"고양이 폭스바이러스, 우두바이러스, 오소폭스바이러스 감염 (Feline poxvirus infection, cowpox, orthopoxvirus in cats)",비듬_각질_상피성잔고리
"고양이 일광피부염, 광피부염 (Feline solar dermatitis, photodermatitis)",농포_여드름
"고양이 허피스 바이러스-1로 인한 바이러스성 코기관염(Feline viral rhinotracheitis, feline herpesvirus-1)",농포_여드름
특발성 불임 육아종과 농육아종성 피부염(Idiopathic sterile granulomatous and pyogranulomatous dermatitis in cats),결절_종괴
메틸렌 블루에 의한 헨즈 소체 빈혈(Methylene blue induced heinz body anemia in cats),결절_종괴
호산구성 피부염을 일으키는 모기 물림 (Mosquito bite-caused eosinophilic dermatitis in cats),비듬_각질_상피성잔고리
점액지질증 (Mucolipidosis in cats),비듬_각질_상피성잔고리
"형질세포, 고양이의 족피부염(Plasma cell feline pododermatitis)",비듬_각질_상피성잔고리
4가 암모늄 중독증(Quarternary ammonium toxicity in cats),농포_여드름
"옴진드기 (Notoedric mange mites in cats, notoedres cati, feline scabies)",비듬_각질_상피성잔고리
고양이의 MECHANOBULLOUS 피부병 (MECHANOBULLOUS SKIN DISEASE IN CATS),비듬_각질_상피성잔고리
피부모발낭종(Cutaneous trichilemmal cysts in dogs),결절_종괴
