num,condition_code,condition_name,condition_list,condition_num,etc
1,"Acoustic","청각기관 증상","귀 긁기<br />
귀의 진드기 , 응애 또는 기생충분비물<br />
귀의 화농성 , 점액양 분비물 , 귓밥이 많음 , 악취<br />
난청 , 귀머거리<br />
이(귀)음향반사 검사상 이상<br />
",5,
2,"Cardiovascular","심혈관계증상","<br />
1도 방실 심 차단<br />
2도 방실 심 차단<br />
3도 방실 심 완전차단<br />
P파 결손<br />
각차단 , 좌각차단 , 우각차단 , 양각차단<br />
경정맥 박동<br />
동 빈맥<br />
동 정지<br />
동성 부정맥<br />
말초정맥확장 , 경정맥확장<br />
맥박 강도 증가<br />
맥박 결손<br />
명치(전흉부)부위 진전의 촉진<br />
모세혈관 재충만 시간 지연 <br />
부정맥 , 불규칙한 심박수 , 맥박<br />
분마율동 , 분마성 리듬<br />
빈맥 , 빠른 맥박 , 심박<br />
서맥 , 느린 심박동이나 맥박<br />
수축기 클릭<br />
심낭음<br />
심방 빈맥 , 빈박<br />
심방 세동<br />
심방 조기 박동<br />
심방 조동<br />
심방확장 , 좌 , 우 혹은 양쪽<br />
심실 기외 수축 , 다발성 혹은 단발성<br />
심실 빈맥 , 다발성 혹은 단발성<br />
심실 세동 , 조동<br />
심실 이탈 박동<br />
심실확장 , 좌 , 우 혹은 양쪽<br />
심음의 감소<br />
심잡음<br />
심전도 전압 감소<br />
심전도의 진폭이 줄어듦 , 전압이 낮음<br />
약맥 , 소맥<br />
유주 심박조율기 , 향도잡이  <br />
이상심음 , 심외 잡음 , 진전음<br />
",37,
3,"Digestive","소화기계","<br />
1위 운동성 저하 , 위 무력증 , 위 운동성의 횟수와 강도 감소<br />
1위 운동의 횟수와 강도 증가<br />
간 , 비장 종대 , 비장종대 , 간종대<br />
개구장애 , 개구곤란<br />
고창증<br />
과도한 또는 불규칙한 치아 마모 <br />
과도한 침흘림 , 유연 , 입에 거품<br />
구강점막의 건조<br />
구강점막의 울혈 , 홍반 , 발적<br />
구강점막의궤양 , 수포 , 플라크(반) , 농포 , 미란 , 열창<br />
구개열 , 구순열<br />
구역질<br />
구토<br />
다식증 , 과도한 식욕<br />
모이주머니 비어있음<br />
방귀<br />
배변량 감소 , 변비 , 배변 안됨<br />
복명(장 연동음)의 증가<br />
복명(장연동음) 감소 , 장폐색증<br />
복부팽만<br />
복수<br />
부리 색깔 이상<br />
부리개폐 불능<br />
부리에 금이감 , 깨진 부리<br />
부리의 기형<br />
부리의 종창<br />
분변 냄새의 이상<br />
분변 색깔이 진함 , 암흑색 분변<br />
분변 실금<br />
분변내 기생충<br />
설사<br />
식도폐쇄<br />
식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단<br />
연하곤란 , 연하장애<br />
연하빈도 증가<br />
유치(젖니)잔존<br />
이빨 색깔 , 이빨의 이상<br />
이빨 흔들림 , 풍치<br />
이빨수과잉 , 이빨수 많아짐<br />
이빨에 금이감 , 이빨파열<br />
이빨을 감 , 이갈이<br />
이빨의 결손 , 이빨수 감소<br />
이식증 , 이기증(이물 섭취 기호증)<br />
인두의 궤양 , 수포 , 미란 , 구진<br />
인두의 홍반 , 발적<br />
장 내강 확장의 촉진<br />
저작곤란 , 잘 씹지 못함<br />
점액변 , 점액양분변<br />
조류 분변 색깔의 이상 , 흰색 , 녹색 , 황색 분변<br />
지방변<br />
직장탈 <br />
충치 , 치아 우식증<br />
치아의 교합부전<br />
턱의 기형 , 하악단소증 , 상악전돌증<br />
토혈증<br />
핑사운드(복부 양측)<br />
핑사운드(우측) , 가스찬 내장 청진<br />
핑사운드(좌측) , 가스찬 내장의 청진<br />
항문 , 직장 협착<br />
혀의 궤양 , 수포 , 미란 , 궤양 , 수포 , 절창 , 열상<br />
혀의 돌출 , 내밀기<br />
혀의 무력증 , 부전마비 , 마비<br />
혈변<br />
혈변 , 분변내 잠혈<br />
",56,
4,"Ophthalmology","안과증상","각막 색소침착 이상<br />
각막손상 , 열상 , 절창<br />
각막의 궤양 , 미란<br />
각막의 부종 , 혼탁<br />
각막의 종창 , 종괴 , 결절<br />
각막혈관신생 , 판누스<br />
결막 , 공막 부종<br />
결막 , 공막의 구진<br />
결막 , 공막의 발적<br />
결막 , 공막의 열상 ,  절창 , 손상<br />
결막 , 공막의 충혈 , 혈관의 이상 <br />
눈물이 적음 , 안구건조증<br />
눈물흘림 , 장액성 분비물 , 축축한 눈<br />
눈부심 , 수명<br />
눈의 외부 또는 내부 기생충 <br />
눈의 화농성 분비물<br />
대안구증 , 녹내장<br />
동공 형태 비정상 또는 홍채의 결함<br />
동공부동<br />
망막 박리<br />
망막 색소침착 이상<br />
망막반사 이상<br />
망막주름 , 융기<br />
망막출혈<br />
망막혈관 크기 이상<br />
백내장 , 수정체 혼탁 <br />
비루관이 막힘<br />
빛에 대한 동공의 비정상 반응<br />
사시 , 사팔뜨기<br />
산동 , 확장된 동공<br />
소안구증 , 각막 안구 위축<br />
속눈썹의 이상<br />
수정체 이탈 , 변위<br />
순막샘의 종대<br />
시신경 위축 , 크기감소<br />
시신경 출혈<br />
실명 , 시력상실<br />
안검내번 , 눈꺼풀이 속으로 말림<br />
안검연축 , 경련<br />
안검외번 , 눈꺼풀이 겉으로 말림<br />
안검하수<br />
안구 전방출혈 ,  &quot;블랙 아이&quot;<br />
안구돌출<br />
안구진탕 , 안구불수의적운동<br />
안구함몰 , 눈이 움푹 꺼짐<br />
위협반사반응에 무반응 또는 감소 , 실명은 아님<br />
유두부종 , 시신경 크기 증가<br />
유리체(초자체) 혼탁 또는 침전물<br />
유착증 , 유착<br />
전방축농 , 안구전방의 지질이나 섬유소 축적<br />
제3안검 탈출 , 순막의 돌출<br />
축동 , 동공축소<br />
홍채의 색소침착 이상<br />
",53,
5,"General","전신종합증상","<br />
각막 또는 안구 이물<br />
갈증이 줄어듬 , 갈증이 없음<br />
거리감각불능 , 거리감각 과대 및 과소<br />
계군내 폐사율 증가<br />
골반 또는 회음부 이물<br />
골반 및 회음부의 종창 , 종괴<br />
골반위축 , 둔부위축 , 야윔<br />
과잉유두 , 부유두<br />
구강 , 혀의 종창 , 종괴<br />
귀의 이물<br />
급사 , 돌연사<br />
기립불능 , 다우너<br />
꼬리 무기력 , 부전마비 , 마비 , 천골미골부위 마비<br />
꼬리의 종창 , 종괴<br />
난관의 종대 , 종괴<br />
난소의 종대 , 종괴<br />
날개무기력 , 부전마비 , 마비 , 처짐<br />
날개의 종창 , 종괴<br />
눈 내부 종괴 종창<br />
눈꺼풀 이물<br />
다음 , 많이 마심 , 지나친 갈증<br />
다한증 , 과도한 땀 흘림 <br />
뒷다리 무기력 , 후지마비 , 부전마비<br />
뒷다리 양쪽 부전마비 , 무기력 , 마비<br />
뒷다리 위축 , 야윔<br />
뒷다리 이물<br />
뒷다리 종창 , 종괴(관절부/비관절부 포함)<br />
뒷다리 파행 , 경직 , 절름발이<br />
뒷발 , 발가락 종창 , 종괴<br />
등부위 부어오름 , 종창 , 종괴<br />
등부위 위축 , 야윔<br />
땀이 적음 , 발한 감소<br />
떨림 , 전율 , 오한<br />
림프절 종대 , 림프절 병증 , 종창 , 종괴<br />
머리 , 얼굴 , 귀 , 턱 , 코의 종창 , 종괴<br />
머리 , 얼굴 , 귀 , 턱 무기력 , 처짐 , 부전마비 , 마비<br />
머리 , 얼굴 , 목의 이물<br />
머리 , 얼굴 , 턱 , 혀 위축 , 수척 , 야윔<br />
목 , 가슴 , 위축 , 야윈 흉곽<br />
목 무기력 , 부전마비 , 마비 , 목을 못가눔<br />
목 부위 종창 , 경부의 종괴<br />
목의 경직 , 뻣뻣한 목	<br />
발열 , 고열<br />
발육정지 , 체중증가없음 , 성장지연<br />
벼슬 , 고기수염(육수) 창백<br />
벼슬 , 고기수염(육수) 퇴화<br />
벼슬 , 고기수염(육수)의 종창<br />
복강 외부 종창 , 종괴<br />
복강내부 종괴 , 종창 , 유착<br />
복부 촉진시 텅빈 복강<br />
불안 , 안절부절 <br />
비만 , 체중과다 , 과체중<br />
비정상적인 자세<br />
사경 , 목이 비틀어짐<br />
사지마비 , 무기력<br />
손톱 , 발톱 , 발굽 , 갈퀴의 이물<br />
수척 , 건강상태 불량 , 증체율 불량<br />
안와 , 안와주위 , 결막 부종 , 안구종괴 <br />
앞다리 위축 , 야윔<br />
앞다리 이물<br />
앞다리 종창 , 종괴(관절부/비관절부위 포함)<br />
앞다리 파행 , 경직 , 절름발이<br />
앞다리 허약 , 무기력 , 부전마비 , 마비<br />
앞발 , 발가락 종창 , 종괴<br />
외음부 , 음핵의 종대 , 종괴<br />
운동기피 , 쉽게 지침 <br />
운동실조 , 협조불능 , 절뚝거림 , 넘어짐<br />
유선의 종대 , 종괴 , 유방비대 , 여성형 유방<br />
음경 , 포피 , 고환 , 음낭의 종대 , 종괴<br />
이급후증 , 배변곤란<br />
이동거부<br />
자궁경부의 종대 , 종괴<br />
자궁종대 , 종괴<br />
저체온증 , 낮은체온<br />
전립선 비대 , 종창 , 종괴 <br />
전신파행 , 경직 , 절름발이<br />
전신허약 , 부전마비 , 마비<br />
점막 , 피부 창백 , 빈혈<br />
점막이 갈색을 띰<br />
점상 또는 반상출혈 , 타박상<br />
조류 다리 , 발 , 발가락 종창<br />
조류 다리 , 발 발가락의 이물<br />
조류 다리무기력 , 부전마비 , 마비<br />
조류가 횃대에서 움직이지 않음<br />
조류의 파행 , 경직 , 한쪽 다리를 끌며 걷기<br />
질 종창 , 종괴<br />
척추전만증 , 척추 앞 굽이증<br />
척추측만증 , 척주옆굽이증<br />
척추후만증 , 아치형 척추<br />
청색증 , 피부나 점막이 푸름<br />
체중감소<br />
총배설강의 종창 , 종괴 , 탈출<br />
출혈 , 응고부전<br />
칠면조에서 전두돌기의 종창<br />
코눈물관(비루관)의 과도한 확장<br />
탈수<br />
토끼처럼 뜀<br />
편측 부전마비<br />
피부 또는 피하의 종창 , 종괴 , 결절<br />
항문직장부위 종창 , 종괴<br />
황달<br />
후궁반장<br />
후두 , 기관 , 인두의 종창 , 종괴<br />
흉강 또는 복강 이물<br />
흉부 종창 , 흉부 , 가슴 , 늑골 , 흉골의 종괴<br />
",106,
6,"Musculoskeletal","근골격계","날개 구축 , 만곡<br />
날개뼈 노출 <br />
다리 , 발 , 발가락 이완 및 탈구 조류<br />
뒷다리 경련 , 근경련<br />
뒷다리 관절 이완 , 탈구<br />
뒷다리 구축 , 뻣뻣함<br />
뒷다리 만곡 , 굽음<br />
뒷다리 및 골반부 , 염발음 , 후지 골반 마찰음<br />
뒷다리가 상대적으로 짧음<br />
뒷다리관절 운동성 감소 , 뒷다리만곡<br />
뒷다리뼈 노출<br />
등 , 흉부 , 가슴 , 늑골 뼈 노출<br />
등 , 흉부 염발음 , 가슴 늑골부 마찰음<br />
등부위 경련 , 근경련<br />
등부위 관절부 운동성 감소 , 결여<br />
머리 , 목관절의 운동성 감소 , 결여<br />
머리 , 목관절의 이완 , 탈구<br />
머리 , 목의 염발음 , 마찰음<br />
머리 , 얼굴 , 목의 경련 , 근경련<br />
머리 , 얼굴 뼈노출<br />
머리 , 얼굴의 편위 , 만곡<br />
앞다리 경련 , 간대성 근경련<br />
앞다리 관절 이완 및 탈구<br />
앞다리 관절의 운동성 감소 , 앞다리 만곡<br />
앞다리 구축 , 뻣뻣함<br />
앞다리 만곡 , 굽음<br />
앞다리 염발음 , 앞다리 마찰음<br />
앞다리가 상대적으로 짧음<br />
앞다리뼈 노출<br />
조류 다리 , 발 , 구축<br />
조류 다리 , 발 , 발가락 경련<br />
조류 다리 , 발 , 발가락 만곡 , 굽음<br />
조류 다리 , 발뼈 노출<br />
조류 다리가 상대적으로 짧음<br />
조류 발가락 구축 , 구부림<br />
조류의 강직증 , 관절구축 , 만곡 , 관절운동 감소<br />
탈구 , 뒷다리 비관절부 운동장애<br />
탈구 , 앞다리 비관절부 운동장애<br />
흉골 , 가슴 , 흉부의 기형<br />
",31,
7,"Nervous","신경계 증상","강직성 경련 , 테타니<br />
걷다 앞으로 넘어짐 , 목적없이 배회<br />
근 긴장증 , 근 경직증<br />
근육긴장저하<br />
꼬리 , 항문 지각감퇴 , 회음부 , 항문 무감각증<br />
뒷다리 반사 이상(증가나 감소)<br />
뒷다리 지각감퇴 , 뒷다리 무감각증<br />
등부위 지각감퇴 , 무감각증<br />
머리 , 얼굴 , 목 , 혀 지각감퇴 , 무감각증<br />
머리 기울기<br />
머리 박치기<br />
머리 흔들기<br />
무기력 , 침울 , 졸림 , 생기없음<br />
발작 , 실신 , 경련 , 간질발작 , 허탈<br />
방향 감각 상실 , 기억 상실<br />
비정상적 또는 공격적 행동 , 습성이 바뀜<br />
선회운동<br />
소리 계속 지르기 , 소리가 커짐<br />
수면과다 또는 수면감소<br />
앞다리 반사 이상(증가나 감소) <br />
앞다리 지각감퇴 , 무감각<br />
지각과민 , 예민함 , 과다운동<br />
진전<br />
피하 지방 조직층 반사 이상(증가나 감소)<br />
항문 , 회음부 , 꼬리 반사 이상<br />
혼수 , 혼미<br />
흉부 또는 복부 지각감퇴<br />
흥분 , 헛소리 , 광분<br />
",28,
8,"Pain","통증 증상","고환 통증<br />
골반 , 둔부 통증<br />
구강 통증 , 구강점막 및 혀의 통증<br />
꼬리 , 항문 , 회음부 통증<br />
눈의 통증 , 안통<br />
뒷다리 통증<br />
뒷발 통증<br />
머리 , 얼굴 , 턱 , 귀의 통증<br />
목 , 경부 , 목구멍 통증<br />
배꼽 , 제대 통증 <br />
복강 외부 압박에 따른 통증<br />
산통 , 복통<br />
신장 , 요관 촉진시 통증 <br />
앞다리 통증<br />
앞발 통증<br />
외음부 , 질의 통증<br />
요통 , 허리 통증<br />
유선 , 유방 통증<br />
음경 통증<br />
음낭 통증<br />
인두 , 후두 , 기관의 통증<br />
전립선 통증<br />
정낭 통증<br />
조류 다리 , 발 , 발가락 , 통증<br />
총배설강 통증<br />
포피 통증<br />
피부 통증<br />
흉부 , 흉곽 , 늑골 , 흉골의 통증<br />
",28,
9,"Respiratory","호흡기계 증상","<br />
가슴 , 흉강 타진시 둔탁한 부위<br />
가슴 , 흉강 타진시 확장된 폐<br />
기침<br />
기침시 객혈<br />
다호흡 , 빠른호흡(빈호흡) , 과호흡<br />
목소리 변성<br />
부비동 타진시 둔탁함<br />
비강점막의 궤양 , 수포 , 미란 , 열상 , 열창 , 구진 , 농포<br />
비도 비강내 섭취물<br />
비정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음<br />
비출혈 , 코피<br />
상부기도의 비정상 호흡음 , 코고는 소리<br />
재채기 <br />
점액양 비강 분비물 , 장액성 , 수양성 <br />
폐포음 감소 , 호흡음이 없음<br />
핑사운드(가슴 , 흉강 타진시)<br />
허스키한 지저귐<br />
호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡<br />
호흡수 감소<br />
호흡시 이상한 냄새 , 구강의 악취<br />
화농성 비강 분비물<br />
",21,
10,"Skin/Integumentary","피부/외피계 증상","갈퀴 , 발굽이 백선으로부터 분리<br />
거친 피모 , 곤두선 털<br />
과 신전 , 과 탄력성 피부<br />
과각화증 , 두꺼운 피부<br />
깃털 , 항문 깃털의 오물<br />
깃털을 세움<br />
깃털이 부러지고 손상됨<br />
깃털이 빠짐 , 성긴 깃털<br />
다모증<br />
다지증(발가락 과다증) , 발가락결손증<br />
모낭의 종대<br />
발톱 , 갈퀴 , 발굽의 갈라짐 , 깨진 발톱<br />
발톱 , 갈퀴 , 발굽의 과도한 발육<br />
발톱 , 갈퀴 , 발굽의 괴저편 또는 박리<br />
발톱 , 갈퀴 , 발굽의 냉감<br />
발톱 , 갈퀴 , 발굽의 농양 , 궤양<br />
발톱 , 갈퀴 , 발굽의 발육 장애<br />
발톱 , 갈퀴 , 발굽의 열감 <br />
소양감 , 가려움<br />
조류에서 항문의 오물<br />
주름진 피부<br />
지루성 피부 , 털 , 깃털<br />
탈모 , 무모증<br />
털 색소침착 감소 , 전신 , 국소성 , 백모증<br />
털의 과도한 색소침착 , 전신 혹은 국소<br />
털이 광택이 없이 덥수룩 하거나 지저분함<br />
털이 심하게 곱슬거림<br />
털이 심하게 뻣뻣함<br />
피부 , 귀 , 다리 냉감<br />
피부 , 근육의 패임 , 오목함 , 보조개<br />
피부 , 털 , 깃털에 기생충 <br />
피부 , 털 , 깃털이 축축함<br />
피부 , 털의 건조<br />
피부 괴사 , 가피 , 괴저<br />
피부 구진<br />
피부 균열 , 열구<br />
피부 농포<br />
피부 누관 , 공동형성<br />
피부 반흔 , 흉터<br />
피부 부종<br />
피부 색소 침착 과잉<br />
피부 수포 , 대수포 , 물집<br />
피부 인설 , 비듬 , 비늘<br />
피부 팽진 , 발진<br />
피부 플라크(반)<br />
피부가 비쩍 마름 , 야윈 피부<br />
피부결손<br />
피부색소침착감소 , 백반증 , 백피증<br />
피부의 가피 , 딱지<br />
피부의 궤양 , 미란 , 찰과상<br />
피부의 악취 , 냄새<br />
피부의 열감<br />
피부의 열상 , 절창 , 교상<br />
피부의 화농성 분비물 <br />
피부홍반 , 염증 , 발적<br />
피하 염발음 , 피하기종<br />
합지증 , 발가락 유합증<br />
",50,
