num,disease_name,animal,define,cause,disease_before,disease_now,condition,jindan,oxjindan,opinion,treatment,preventing,preventing_next,advice,etc,chamgo,image1,image2,image3,image4,image5
304,"부종을 나타내는 호산구성 피부염, 호산구성 봉와직염(Eosinophilic",개,"인간에서 호산구성 봉와직염은 다양한 정도의 통증과 소양감을 나타내
는 홍반성, 부종성이며 단단한 플라크가 특징적. 개에서 가슴과 배의 배쪽표]
면과 pinnae위에 아치형이며 사행성인 플라크가 발달; 팔다리 끝에 병변이 
나타나기도 함.; 이 질환은 호산구성 봉와직염과 유사. 생검시 피부의 호산구
증가증.; 혈관이완; 비탈과립성 비만세포의 혈관주위 응집; 표피과다증식; 표
피해면화; 피부부종; 피부혈관돌출; 호중구 세포외유출 등이 관찰될 수 있음. 
원인은 알려져 있지 않으나, 과민반응에 의한 것으로 추측됨. 
",,,,"구강점막의 울혈, 홍반, 발적 | 림프절 종대, 림프절 병증, 종창, 종괴 | 머
리, 얼굴, 귀, 턱, 코의 종창, 종괴 | 무기력, 침울, 졸림, 생기없음 | 발열, 
고열 | 소양감, 가려움 | 안와, 안와주위, 결막 부종, 안구종괴 | 피부 구
진 | 피부 부종 | 피부 플라크(반) | 피부홍반, 염증, 발적 |

",,,,,,,,,,,,,,
310,표피이형성증(Epidermal dysplasia of west highland white terriers ),개,"수 주에서 수 개월령의 West Highland white terriers 는 피부병을 앓
게 될 수 있음. 이 질환은 특히 발과 다리의 홍반, 가려움 증세로 나타나기 
시작함. 시간이 경과함에 따라 중증의 피부병으로 진전됨. 조직학적으로 증
식성 혈관주위 피부염과 표피이형성증이 있음. 이는 어루러기 감염과 선천성 
각질화 장애질환, 어루러기 균에 의한 염증반응이나 과민반응, 과다한 자가 
외상의 결과 등에 의한 것임.
",,,,"과각화증 , 두꺼운 피부 | 림프절 종대 , 림프절 병증 , 종창 , 종괴 | 소양감 , 가려움 | 지루성 피부 , 털 , 깃털 | 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 색소 과잉 침착 | 피부 인설 , 비듬 , 비늘 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 | 피부의 악취 , 냄새 | 피부홍반 , 염증 , 발적 |


",,,,,,,,,,,,,,
1454,당김에 의한 탈모증 (Traction alopecia in dogs),개," 털손질을 하기 위해 고무줄이나 머리핀을 이용한 자리에 탈모를 갖는다. 이 증후군은 사람의 당김에 의한 탈모와 유사하다. 털손실은 영구적이다. 휴지기에 위축성 모낭, 기름샘모낭성 박리물, 피부 콜라겐 다발의 경화증. 특이적 치료가 없다.",,,," 탈모 | 피부 반흔, 흉터 | 피부 색소 과잉 침착 | 피부 인설 | 피부의 가피 | 피부홍반 |",,,,,,,,,,,,,,
271,"개에서의 용선충증 (DRACUNCULIASIS, DRACUNCULOSIS, IN DOGS- ZOONOSIS)",개,"개에서의 용선충의 감염은 감염되어 있는 물벼룩을 개가 먹었을 때 발생 한다. 유충은 점막 조       직에서 8에서 12개월간 머무르며, 결절과 부종 그리고 피부의 궤양을 야기한다. 결절이 터졌을        때 호흡의 이상, 설사, 구토를 수반하는 알러지 반응이 관찰 되었다.
",,,,"탈모, 부기, 설사, 호흡곤란| 앞다리 부종, 앞발가락 부종| 구토, 머리부종,얼굴 부종| 
      귀부종, 턱부종, 코 부종, 비강 부종| 뒷 다리 부종, 뒷발가락 부종| 
      소양감, 피부와 털에서 기생충 관찰|
      피부 홍반, 재채기| 피부 궤양, 흉강 부종|
",,,,,,,,,,,,,,
282,"하수 이를 가진 개의 귀 가장자리 피부병과 지루(Ear margin dermatosis, seborrhea, in dogs with pendulous ears)", 개," 하수 이를 가진 개는 귓바퀴의 가장자리의 귀루가 증가한다. 피부와 털에 붙어있는 기름기 많은 플러그의 존재는 쉽게 제거 될 수 있다. Dachshunds는 귀의 탈모가 나타날 수 있다. 중증은 궤양과 귀 가장자리의 딱지가 형성된다.
",,,,"탈모, 기름기 많은 피부, 털과 피부의 기름| 피부 홍반, 피부괴사, 피부통증,피부 궤양|


",,,,,,,,,,,,,,
283,"개에서의 귀의 이물(Ear, aural, foreign body in dogs)",개,"풀의 조각은 가장 흔한 유형의 이물이다.외이도의 염증과 습성 피부염의 원인이다.
",,,," 탈모, 귀의 이물, 머리 흔듬| 습성 피부, 과도한 기름| 귀에서의 악취, 귀 문지름|

",,,,,,,,,,,,,,
888,특발성 선형 농포 가시세포해리 피부병(Idiopathic linear pustular acantholytic dermatosis in dogs),개,"어린 브르타뉴 스파니엘 강아지는 편측, 선형, 구진-농포 피부병이 발병한다. 조직학적으로 깔때기 상피의 명확한 가시세포해리와 함께 호산성이고 호중구성인 농포성 피부 모낭염이 존재한다. 원인은 밝혀져 있지 않으나, 임상적 회복은 글루코코티코이드의 전신적 투여후 나타남.",,,," 과각화증 , 두꺼운 피부 | 소양감 , 가려움 | 탈모 , 무모증 | 피부 구진 | 피부 농포 | 피부 플라크(반) | 피부의 가피 , 딱지 | 피부홍반 , 염증 , 발적 |",,,,,,,,,,,,,,
412, 개의 호산성 모낭염과 절창증 (Canine eosinophilic folliculitis and furunculosis),개,"개의 호산성 모낭염과 절창증은 빠르게 발달하는 콧잔등의 소양감, 구진, 고름물집 그리고 궤양병변과 다른 신체부위에서 이와 같은 증상이 나타나는 것을 특징으로 한다. 이와 같은 증상으로 인해 ""코 농피증"" 이라고 불린다. 생검은 현격한 호산성 침윤과 피부콜라겐 괴사를 보여준다. 몇몇의 예에서는 글루코코르티코이드에 반응을 보이기도 한다. 조직학적검사를 통해 진단할 수 있다. 
",,,,"무기력 , 침울 , 졸림 , 생기없음 | 발열 | 소양감 , 가려움 | 식욕부진 , 식욕감소 , 식욕절폐 | 탈
모 , 무모증 | 피부 구진 | 피부 농포 | 피부 반흔 , 흉터 | 피부 부종 | 피부 수포 , 대수포 , 물
집 | 피부 통증 | 피부 , 털 , 깃털이 축축함 | 피부의 가피 , 딱지 | 피부의 궤양 , 미란 , 찰과상 
| 피부홍반 , 염증 , 발적 |
",,,,,,,,,,,,,,
417, 개의 비늘증 (Canine ichthyosis),개," 이것은 정상적으로 상염색체로부터 받을수 있는 개에서 드물게 나타나는 선천적 피부질환이다. 이 병에 의해 피부 전체나 일부 피부에서 과각화증이 나타나고, 손가락, 손목, 그리고 발바닥이 두꺼워 진다. 진단은 증상을 통해한다.
",,,,"거친 피모 | 과각화증 | 뒷다리 파행 | 뒷발 통증 | 소양감 , 가려움 | 앞다리 통증 | 앞다리 파행 | 앞발 통증 | 전신파행 , 경직 |  탈모 | 털이 광택이 없이 덥수룩 하거나 지저분함 | 
피부 색소 과잉 침착 | 피부 인설 | 피부 , 털의 건조 | 피부의 가피 |  피부의 악취 |  
",,,,,,,,,,,,,,
1079,외분비 췌장 종양형성(Neoplasia of the exocrine pancreas in dogs),개,"외분비 췌장의 일차적 종앙은 도관과 그리고 선포세포의 선암종을 포함한다. 췌장 섬세포의 종양은 췌장의 신경내분비종양으로 알려져 있다. 나타나는 증상은 간 전이에 의한 간질환과 연관되어 있다. 드물게 급성 또는 만성 췌장염으로 나타난다. 전이는 종종 폐에서 일어나고 피부는 드물다. 진단은 증상과 실험, 초음파, 간 생검에 의해 진단된다.",,,," 구토 | 기침 | 다뇨증 | 다식증 , 과도한 식욕 | 다음 , 많이 마심 , 지나친 갈증 | 무기력 , 침울 , 졸림 , 생기없음 | 발열 , 고열 | 복강내부 종괴 , 종창 , 유착 | 복부팽만 | 복수 |  정상의 폐포음 , 흉강음 , 랏셀음 , 염발음 , 천명음 , 마찰음 | 설사 , 하리 | 수척 , 건강상태 불량 , 증체율 불량 | 식욕부진 , 식욕감소 , 식욕절폐 , 젖을 안먹임 , 먹이 공급 중단 | 전신허약 , 부전마비 , 마비 | 점액변 , 점액양분변 | 지방변 | 체중감소 | 탈수 | 호흡곤란 , 개구호흡 , 그르렁거림 , 가쁜호흡 | 황달 |",,,,,,,,,,,,,,
