disease_name,assigned_label
수포성 표피박리증(Epidermolysis bullosa in cats ),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
특발성 안면 피부염(Idiopathic facial dermatitis of persian cats),농포_여드름 (Pustules_Acne)
외분비 췌장 종양형성(Neoplasia of the exocrine pancreas in cats),결절_종괴 (Nodule_Tumor)
"모피 진드기인 LYNXACARUS RADOVSKYI 기생충증(LYNXACARUS RADOVSKYI, CAT FUR MITE)",농포_여드름 (Pustules_Acne)
"유두종, 고양이 사마귀, 섬유성 유두종 (Papillomatosis, feline warts, fibropapilloma)",결절_종괴 (Nodule_Tumor)
고양이에서의 GRISEOFULVIN중독증 (GRISEOFULVIN TOXICITY IN CATS ),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
고양이에서 뺨 부종(Chin edema in cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
말과 고양이에서의 chromomycosis(Chromomycosis in horses and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부 과호산구증(Dermatologic hypereosinophilic syndrome in cats),결절_종괴 (Nodule_Tumor)
"눈꺼풀낭과 부분분비땀샘낭종 (Eyelid cysts, apocrine hidrocystomas, in cats)",결절_종괴 (Nodule_Tumor)
캘리시바이러스 (Feline calicivirus),농포_여드름 (Pustules_Acne)
CHEDIAK-HIGASHI증후군 (Feline chediak-higashi syndrome),결절_종괴 (Nodule_Tumor)
고양이 특발 궤양성 피부병 (Feline idiopathic ulcerative dermatosis),결절_종괴 (Nodule_Tumor)
고양이 좁쌀피부염 (Feline miliary dermatitis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"고양이 폭스바이러스, 우두바이러스, 오소폭스바이러스 감염 (Feline poxvirus infection, cowpox, orthopoxvirus in cats)",결절_종괴 (Nodule_Tumor)
"고양이 일광피부염, 광피부염 (Feline solar dermatitis, photodermatitis)",농포_여드름 (Pustules_Acne)
"고양이 허피스 바이러스-1로 인한 바이러스성 코기관염(Feline viral rhinotracheitis, feline herpesvirus-1)",농포_여드름 (Pustules_Acne)
특발성 불임 육아종과 농육아종성 피부염(Idiopathic sterile granulomatous and pyogranulomatous dermatitis in cats),농포_여드름 (Pustules_Acne)
메틸렌 블루에 의한 헨즈 소체 빈혈(Methylene blue induced heinz body anemia in cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
호산구성 피부염을 일으키는 모기 물림 (Mosquito bite-caused eosinophilic dermatitis in cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
점액지질증 (Mucolipidosis in cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"형질세포, 고양이의 족피부염(Plasma cell feline pododermatitis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
4가 암모늄 중독증(Quarternary ammonium toxicity in cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"옴진드기 (Notoedric mange mites in cats, notoedres cati, feline scabies)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
고양이의 MECHANOBULLOUS 피부병 (MECHANOBULLOUS SKIN DISEASE IN CATS),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부모발낭종(Cutaneous trichilemmal cysts in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
D-limonene의 독성(D-limonene toxicity in cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
퇴행성점액벽모낭염(Degenerative mucinotic mural folliculitis in cats),농포_여드름 (Pustules_Acne)
"고양이의 흡인성 ,알러지성, 아토피성 피부염, 고양이 아토피(ALLERGIC INHALENT, ATOPIC, DERMATITIS IN CATS, 고양이 ATOPY)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
고양이와 말의 전신탈모증(ALOPECIA UNIVERSALIS IN CATS AND HORSES),농포_여드름 (Pustules_Acne)
"고양이와 말의 결절 열모증, 털줄기 창상 (Trichorrhexis nodosa, hair shaft trauma, in horses and cats)",농포_여드름 (Pustules_Acne)
"고양이에서의 트리코스포론, 트리코스포론 (Trichosporosis in cats, trichosporon)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
리슈마니아증(Leishmaniasis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
림프종/림프육종(Lymphoma/Lymphosarcoma),결절_종괴 (Nodule_Tumor)
모낭충증(Demodicosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"근병증- 전신성, 다발성 근염, 피부근염(Myopathy, generalized inflammatory-polymyositis, dermatomyositis)",농포_여드름 (Pustules_Acne)
"편평세포 암 -발가락(Squamous cell carcinoma, digit)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"편평세포암 -귀(Squamous cell carcinoma, ear)",농포_여드름 (Pustules_Acne)
"편평세포암-피부형(Squamous cell carcinoma, skin)",결절_종괴 (Nodule_Tumor)
피부진균증(Dermatophytosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부 무력증(Cutaneous asthenia),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부 방선균증 (Dermatophilosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"혈관염, 피부 (Vasculitis, cutaneous)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
" 혈관육종, 피부(Hemangiosarcoma, skin)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
조직구증(Histiocytosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
기저 세포종 (Basal cell tumor),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
자상성(지단핥음) 피부염(Acral lick dermatitis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
농피증(Pyoderma),결절_종괴 (Nodule_Tumor)
체이레티오시스 (Cheyletiellosis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
알러지성 접촉성 피부염(Allergic contact dermatitis),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
뇨나 분변에 의한 열상 (Urine or fecal scald),결절_종괴 (Nodule_Tumor)
유천포창(Bullous pemphigoid),결절_종괴 (Nodule_Tumor)
표재성 괴사성 피부염(Superficial necrolytic dermatitis),결절_종괴 (Nodule_Tumor)
피하 약진(Cutaneous drug eruption),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"약물 발진,특이체질적인 피하 반응(Drug eruption, idiosyncratic cutaneous reaction)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"한랭글로불린혈증 (Cold agglutinin disease, cryoglobulinemia, cryofibrinogenemia in dogs, cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
특발성 태선모양피부염 (Idiopathic lichenoid dermatitis in dogs and cats),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"국한피부경피증 (LOCALIZED SCLERODERMA, CANINE, FELINE OR EQUINE MORPHEA)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"신경섬유종, 신경섬유육종, 신경집종(Neurofibroma, neurofibrosarcoma, neurilemmoma, schwannoma)",결절_종괴 (Nodule_Tumor)
"옴진드기, 진드기증, 개선충, 옴 (Sarcoptic mange mites, acariasis, sarcoptes scabiei, scabies in dogs and cats)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
