disease_name,assigned_label
"부종을 나타내는 호산구성 피부염, 호산구성 봉와직염(Eosinophilic",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
표피이형성증(Epidermal dysplasia of west highland white terriers ),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
당김에 의한 탈모증 (Traction alopecia in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"개에서의 용선충증 (DRACUNCULIASIS, DRACUNCULOSIS, IN DOGS- ZOONOSIS)",미란_궤양 (Erosion_Ulcer)
"하수 이를 가진 개의 귀 가장자리 피부병과 지루(Ear margin dermatosis, seborrhea, in dogs with pendulous ears)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"개에서의 귀의 이물(Ear, aural, foreign body in dogs)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
특발성 선형 농포 가시세포해리 피부병(Idiopathic linear pustular acantholytic dermatosis in dogs),농포_여드름 (Pustules_Acne)
 개의 호산성 모낭염과 절창증 (Canine eosinophilic folliculitis and furunculosis),농포_여드름 (Pustules_Acne)
 개의 비늘증 (Canine ichthyosis),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
외분비 췌장 종양형성(Neoplasia of the exocrine pancreas in dogs),결절_종괴 (Nodule_Tumor)
국소적 코티코스테로이드 피부병(Topical corticosteroid dermatosis in dogs),결절_종괴 (Nodule_Tumor)
"에스트로겐, FSH에 의한 피부병(Estrogen, fsh-responsive dermatosis in female dogs, hypoestrogenism)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"간선충피부염(Pelodera, rhabditic dermatitis)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
증식성 천포창(Pemphigus vegetans in dogs),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"개의 모낭충 감염  (Canine demodectic mange mites, demodex, demodicosis in dogs)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
"Orthopoxvirus에 감염된 개, 우두, 천연두 (Orthopoxvirus infection in dogs, cowpox, pox)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"유두종증, 개 사마귀 (Papillomatosis, canine warts)",농포_여드름 (Pustules_Acne)
시베리안 허스키의 모낭형성장애 (HAIR FOLLICLE DYSPLASIA IN SIBERIAN HUSKY DOGS ),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
혈관각화종 (Angiokeratomas in dogs),결절_종괴 (Nodule_Tumor)
입 또는 피부의 호산성 육아종(Canine oral or skin eosinophilic granuloma),농포_여드름 (Pustules_Acne)
"재발하는 계절의 옆구리 탈모증(Canine recurrent, seasonal, flank alopecia)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
불임의 호산성 백혈구 귓바퀴모포염(Canine sterile eosinophilic pinnal folliculitis),결절_종괴 (Nodule_Tumor)
"핵스포론증(Caryosporosis, caryospora, in dogs)",비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"만성 방사열성 피부염, 홍반(ERYTHEMA) AB  IGNE(Chronic radiant heat dermatitis, erythema ab igne, in dogs)",태선화_과다색소침착 (Lichenification_Hyperpigmentation)
선천적 난포 각화증 (Congential follicular parakeratosis in female rottweilers and siberian husky),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"접촉전염성 바이러스 농포 피부염(Contagious viral pustular dermatitis in dogs, orf)",농포_여드름 (Pustules_Acne)
피부와 신사구체 혈관병증(Cutaneous and renal glomerular vasculopathy of greyhounds),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부 홍반(Cutaneous flushing in dogs),미란_궤양 (Erosion_Ulcer)
피부 혈관육종(Dermal angiosarcoma in dogs),결절_종괴 (Nodule_Tumor)
microfilaria와 관련된 피부염(Dermatitis associated with microfilaria in dogs),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
포진성피부염(Dermatitis herpetiformis in dogs),농포_여드름 (Pustules_Acne)
피부근육염(Dermatomyositis in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
산재성 동맥성 지방종증(Diffuse trunkal lipomatosis in dogs),결절_종괴 (Nodule_Tumor)
Dirofilaria repens 육아종(Dirofilaria repens granuloma in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
골수 외 점막피부의 형질세포종 (Extramedullary mucocutaneous plasmacytomas in dogs),태선화_과다색소침착 (Lichenification_Hyperpigmentation)
german shepherds 의 가족 피부 혈관병증 (Familial cutaneous vasculopathy of german shepherds),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
사구종양(Glomus tumor in dogs),결절_종괴 (Nodule_Tumor)
"수활액낭종, 가골, 궤양, 고름피부증 (Hygroma, callus, ulceration, pyoderma, in dogs)",농포_여드름 (Pustules_Acne)
"에스트로겐 분비과다 (Hyperestrogenism, ovarian imbalance type i, in intact bitches)",농포_여드름 (Pustules_Acne)
특발성 점액증 (Idiopathic mucinosis of chinese shar pei),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
특발성 모세혈관확장증(Idiopathic telangiectasia in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
sulfonamides에 대한 특이 반응(Idiosyncratic reactions to sulfonamides in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"영아 피부 농포(Infantile pustular, neonatal, dermatitis in puppies)",농포_여드름 (Pustules_Acne)
피부를 관통하는 털의 염증성 반응(Inflammatory reaction to hair penetrating the skin in dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
피부내 원뿔형 상피종(Intracutaneous cornifying epithelioma),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
가성원형탈모증과 유사한 협부벽모낭염 (Isthmus mural folliculitis resembling pseudopelade of dogs),비듬_각질_상피성잔고리 (Dandruff_Keratin_Epithelial Colloid)
"자견의 과각화증, 아연결핍, 화농피부증 (Juvenile hyperkeratosis, zinc deficiency, dry pyoderma in young dogs)",결절_종괴 (Nodule_Tumor)
